variant,run_id,device,batch_size,K,tap_blocks,n_mels,frames,expected_mflops,full_mflops,compute_saving_pct,lat_exit1_ms,exit1_flops,lat_exit2_ms,exit2_flops,lat_exit3_ms,exit3_flops,lat_exit4_ms,exit4_flops,lat_exit5_ms,exit5_flops
3exit_greedy,3exit_greedy_001,cpu,16,3,"1,3",64,101,23.861081796923074,51.628288,53.78293040256714,0.24237359564708374,1861696.0,2.4020723946886373,18450560.0,6.721469992771745,51628288.0,,,,
5exit_greedy,5exit_greedy_001,cpu,16,5,"1,2,3,4",64,101,17.940135975384614,51.628288,65.25134442694552,0.26048796156200316,1861696.0,1.8078924787985848,12920928.0,2.581596976132211,18450560.0,4.129005970799463,29509824.0,7.223815005272627,51628288.0
3exit_greedy_hint,3exit_greedy_hint_001,cpu,16,3,"1,3",64,101,21.359991532307692,51.628288,58.62734876603366,0.2544955750559264,1861696.0,2.5222087157644824,18450560.0,7.057634997181594,51628288.0,,,,
5exit_greedy_hint,5exit_greedy_hint_001,cpu,16,5,"1,2,3,4",64,101,16.66406774153846,51.628288,67.72298988194522,0.28380392614188493,1861696.0,1.969714763203344,12920928.0,2.81267262083413,18450560.0,4.498588336095701,29509824.0,7.87041001021862,51628288.0
gs3,gs3_001,cpu,16,3,"1,3",64,101,18.600588485788116,51.628288,63.97209900551396,0.21892006407165346,1861696.0,2.169633375888376,18450560.0,6.071059999521822,51628288.0,,,,
gs3_hint,gs3_hint_001,cpu,16,3,"1,3",64,101,18.51485792248062,51.628288,64.13815247470413,0.25234137394738737,1861696.0,2.500859249038891,18450560.0,6.997894999221899,51628288.0,,,,
gs5,gs5_001,cpu,16,5,"1,2,3,4",64,101,14.864163514211885,51.628288,71.20926513346349,0.2633867935428285,1861696.0,1.82801155264756,12920928.0,2.6103261958287334,18450560.0,4.17495548219108,29509824.0,7.304205000400543,51628288.0
gs5_hint,gs5_hint_001,cpu,16,5,"1,2,3,4",64,101,15.364258149870802,51.628288,70.24062051046356,0.28874661671494456,1861696.0,2.004019047587466,12920928.0,2.8616577446028177,18450560.0,4.576935138633521,29509824.0,8.007480000378564,51628288.0
gs3_h025,gs3_h025_001,cpu,16,3,"1,3",64,101,23.451614588235298,51.628288,54.57603671027152,0.28840062473315975,1861696.0,2.858228749847799,18450560.0,7.997885000077077,51628288.0,,,,
gs3_hint_h025,gs3_hint_h025_001,cpu,16,3,"1,3",64,101,24.653958722689076,51.628288,52.24718913265325,0.25933982339977346,1861696.0,2.5702182160927047,18450560.0,7.191975001478568,51628288.0,,,,
kexit_greedy_gunshot_segment,kexit_greedy_gunshot_segment_001,cpu,16,5,"1,2,3,4",64,101,45.133156324324325,51.629312,12.582301456342615,0.2817288485194088,1861952.0,1.955102146091854,12921312.0,2.791800899544513,18451072.0,4.465198406449832,29510592.0,7.811945001594722,51629312.0
