label,aggregation,threshold,precision,recall,f1,support,predicted_positive,tp,fp,fn,tn
Brene_Brown,p75,0.54,1.0,0.9726027397260274,0.9861111111111112,73,71,71,0,2,794
Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,84,84,84,0,0,783
Eric_Thomas,top4mean,0.62,0.9285714285714286,0.9558823529411765,0.9420289855072465,68,70,65,5,3,794
Gary_Vee,mean,0.5,1.0,1.0,1.0,68,68,68,0,0,799
Jay_Shetty,p75,0.91,0.9574468085106383,1.0,0.9782608695652174,90,94,90,4,0,773
Nick_Vujicic,p75,0.34,0.9607843137254902,1.0,0.98,49,51,49,2,0,816
other_speaker_present,noisy_or,0.94,0.9586956521739131,0.9586956521739131,0.9586956521739131,460,460,441,19,19,388
music_present,mean,0.37,0.9615384615384616,0.9530791788856305,0.9572901325478645,341,338,325,13,16,513
audience_reaction_present,top3mean,0.23,0.5555555555555556,0.5172413793103449,0.5357142857142857,29,27,15,12,14,826
silence_present,p75,0.42,1.0,0.16666666666666666,0.2857142857142857,12,2,2,0,10,855
