label,aggregation,threshold,precision,recall,f1,fp,fn,hamming_errors
Brene_Brown,p75,0.54,1.0,0.9726027397260274,0.9861111111111112,0,2,2
Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,0,0,0
Eric_Thomas,top4mean,0.62,0.9285714285714286,0.9558823529411765,0.9420289855072465,5,3,8
Gary_Vee,mean,0.5,1.0,1.0,1.0,0,0,0
Jay_Shetty,p75,0.91,0.9574468085106383,1.0,0.9782608695652174,4,0,4
Nick_Vujicic,p75,0.34,0.9607843137254902,1.0,0.98,2,0,2
other_speaker_present,noisy_or,0.94,0.9586956521739131,0.9586956521739131,0.9586956521739131,19,19,38
music_present,mean,0.37,0.9615384615384616,0.9530791788856305,0.9572901325478645,13,16,29
audience_reaction_present,top3mean,0.23,0.5555555555555556,0.5172413793103449,0.5357142857142857,12,14,26
silence_present,p75,0.34,0.3076923076923077,0.3333333333333333,0.32,9,8,17
