label,precision,recall,f1,support,predicted_positive
Brene_Brown,0.9863013698630136,0.9863013698630136,0.9863013698630136,73,73
Eckhart_Tolle,1.0,1.0,1.0,84,84
Eric_Thomas,0.9552238805970149,0.9411764705882353,0.9481481481481482,68,67
Gary_Vee,0.9855072463768116,1.0,0.9927007299270073,68,69
Jay_Shetty,0.9278350515463918,1.0,0.9625668449197861,90,97
Nick_Vujicic,1.0,1.0,1.0,49,49
other_speaker_present,0.9362637362637363,0.9260869565217391,0.9311475409836065,460,455
music_present,0.9727272727272728,0.9413489736070382,0.9567809239940388,341,330
audience_reaction_present,0.5625,0.3103448275862069,0.4,29,16
silence_present,0.5,0.25,0.3333333333333333,12,6
