Label,LATS-v1 F1,LATS-v2 F1,F1 change,LATS-v1 precision,LATS-v2 precision,Precision change,LATS-v1 recall,LATS-v2 recall,Recall change,LATS-v1 errors,LATS-v2 errors,Error change,LATS-v1 pred+,LATS-v2 pred+
Brene_Brown,0.9790209790209792,0.9790209790209792,0.0,1.0,1.0,0.0,0.958904109589041,0.958904109589041,0.0,3,3,0,70,70
Eckhart_Tolle,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0,84,84
Eric_Thomas,0.9343065693430658,0.9411764705882352,0.006869901245169396,0.927536231884058,0.9411764705882352,0.013640238704177188,0.9411764705882352,0.9411764705882352,0.0,9,8,-1,69,68
Gary_Vee,0.9852941176470588,0.9852941176470588,0.0,0.9852941176470588,0.9852941176470588,0.0,0.9852941176470588,0.9852941176470588,0.0,2,2,0,68,68
Jay_Shetty,0.967032967032967,0.9723756906077348,0.005342723574767727,0.9565217391304348,0.967032967032967,0.010511227902532227,0.9777777777777776,0.9777777777777776,0.0,6,5,-1,92,91
Nick_Vujicic,0.9896907216494846,0.9896907216494846,0.0,1.0,1.0,0.0,0.979591836734694,0.979591836734694,0.0,1,1,0,48,48
other_speaker_present,0.9443838604143948,0.9443838604143948,0.0,0.9474835886214442,0.9474835886214442,0.0,0.941304347826087,0.941304347826087,0.0,51,51,0,457,457
music_present,0.9556213017751478,0.9556213017751478,0.0,0.964179104477612,0.964179104477612,0.0,0.9472140762463344,0.9472140762463344,0.0,30,30,0,335,335
audience_reaction_present,0.608695652173913,0.608695652173913,0.0,0.8235294117647058,0.8235294117647058,0.0,0.4827586206896552,0.4827586206896552,0.0,18,18,0,17,17
silence_present,0.303030303030303,0.2962962962962963,-0.006734006734006703,0.238095238095238,0.2666666666666666,0.02857142857142861,0.4166666666666667,0.3333333333333333,-0.08333333333333337,23,19,-4,21,15
