method,label,aggregation,threshold,precision,recall,f1,support,predicted_positive,tp,fp,fn,tn,hamming_errors
lats_final_frozen_config_full_holdout,Brene_Brown,top3mean,0.5,1.0,0.958904109589041,0.9790209790209792,73,70,70,0,3,794,3
lats_final_frozen_config_full_holdout,Eckhart_Tolle,top2mean,0.5,1.0,1.0,1.0,84,84,84,0,0,783,0
lats_final_frozen_config_full_holdout,Eric_Thomas,mean,0.53,0.927536231884058,0.9411764705882352,0.9343065693430658,68,69,64,5,4,794,9
lats_final_frozen_config_full_holdout,Gary_Vee,top3mean,0.5,0.9852941176470588,0.9852941176470588,0.9852941176470588,68,68,67,1,1,798,2
lats_final_frozen_config_full_holdout,Jay_Shetty,mean,0.8,0.9565217391304348,0.9777777777777776,0.967032967032967,90,92,88,4,2,773,6
lats_final_frozen_config_full_holdout,Nick_Vujicic,mean,0.43,1.0,0.979591836734694,0.9896907216494846,49,48,48,0,1,818,1
lats_final_frozen_config_full_holdout,other_speaker_present,top3mean,0.76,0.9474835886214442,0.941304347826087,0.9443838604143948,460,457,433,24,27,383,51
lats_final_frozen_config_full_holdout,music_present,mean,0.49,0.964179104477612,0.9472140762463344,0.9556213017751478,341,335,323,12,18,514,30
lats_final_frozen_config_full_holdout,audience_reaction_present,max,0.68,0.8235294117647058,0.4827586206896552,0.608695652173913,29,17,14,3,15,835,18
lats_final_frozen_config_full_holdout,silence_present,top2mean,0.38,0.238095238095238,0.4166666666666667,0.303030303030303,12,21,5,16,7,839,23
