metric,initial_start_config,lats_v2_final_config,difference_final_minus_initial
objective_score,0.8515829705827123,0.8534638765624626,0.0018809059797503247
macro_f1,0.8667076472087315,0.8672555090173246,0.0005478618085931197
micro_f1,0.9435897435897436,0.9457855164226355,0.0021957728328919623
samples_f1,0.9495084308233096,0.9516998956445324,0.0021914648212227883
exact_match,0.8523644752018454,0.8604382929642446,0.008073817762399127
hamming_loss,0.01649365628604383,0.01580161476355248,-0.0006920415224913497
jaccard,0.927431757016532,0.9308919646289889,0.0034602076124569114
avg_true_labels,1.469434832756632,1.469434832756632,0.0
avg_pred_labels,1.4544405997693195,1.4452133794694348,-0.009227220299884653
label_count_abs_error,0.014994232987312506,0.02422145328719716,0.009227220299884653
