Label,Most selected aggregation,Selection count,Selection fraction,Final threshold,Mean threshold,Median threshold,Std threshold
Brene_Brown,top3mean,8/20,0.40,0.50,0.5000,0.5000,0.0000
Eckhart_Tolle,top2mean,19/20,0.95,0.50,0.5000,0.5000,0.0000
Eric_Thomas,mean,10/20,0.50,0.53,0.5200,0.5300,0.0226
Gary_Vee,top3mean,11/20,0.55,0.50,0.5100,0.5000,0.0341
Jay_Shetty,mean,14/20,0.70,0.80,0.7407,0.8050,0.1508
Nick_Vujicic,mean,10/20,0.50,0.43,0.4580,0.4300,0.0361
other_speaker_present,top3mean,10/20,0.50,0.76,0.7690,0.7600,0.0233
music_present,mean,14/20,0.70,0.49,0.5057,0.4900,0.0454
audience_reaction_present,max,11/20,0.55,0.68,0.6845,0.6800,0.0680
silence_present,top2mean,15/20,0.75,0.38,0.3600,0.3800,0.0520
