label,selected_aggregation,count
Brene_Brown,mean,8
Brene_Brown,max,7
Brene_Brown,top2mean,5
Eckhart_Tolle,top2mean,11
Eckhart_Tolle,max,8
Eckhart_Tolle,mean,1
Eric_Thomas,mean,15
Eric_Thomas,top2mean,5
Gary_Vee,mean,11
Gary_Vee,top2mean,9
Jay_Shetty,mean,20
Nick_Vujicic,mean,15
Nick_Vujicic,top2mean,5
audience_reaction_present,max,11
audience_reaction_present,top2mean,5
audience_reaction_present,mean,4
music_present,mean,14
music_present,max,3
music_present,top2mean,3
other_speaker_present,mean,17
other_speaker_present,top2mean,3
silence_present,top2mean,20
